"airport","name","iata","city","province","icao","lat","long"
"http://dbpedia.org/resource/Karel_Sadsuitubun_Airport","Karel Sadsuitubun Airport","LUV","Tual, Indonesia",,"WAPF",-5.76027774810791,132.7594451904297
"http://dbpedia.org/resource/Kasiguncu_Airport","Kasiguncu Airport","PSJ","Poso","Central Sulawesi","WAMP",-1.416752815246582,120.6576690673828
"http://dbpedia.org/resource/Kemayoran_Airport","Kemayoran Airport","JKT","Jakarta","Central Jakarta","WIID",-6.14722204208374,106.8499984741211
"http://dbpedia.org/resource/Kertajati_International_Airport","Kertajati International Airport","KJT","Cirebon","West Java","WICA",-6.669167041778564,108.1911087036133
"http://dbpedia.org/resource/Ketapang_Airport","Ketapang Airport",,,,,,
"http://dbpedia.org/resource/Komodo_Airport","Komodo Airport","LBJ","Labuan Bajo","Lesser Sunda Islands","WATO",-8.486666679382324,119.8891677856445
"http://dbpedia.org/resource/Kornasoren_Airport","Kornasoren Airport","FOO",,,,-0.9363889098167419,134.8719482421875
"http://dbpedia.org/resource/Kualanamu_International_Airport","Kualanamu International Airport","KNO","Medan metropolitan area","North Sumatra","WIMM",3.642222166061401,98.88527679443359
"http://dbpedia.org/resource/Lasikin_Airport","Lasikin Airport","none",,,"WITG",2.416666746139526,96.32917022705078
"http://dbpedia.org/resource/Lasondre_Airport","Lasondre Airport","LSO","Batu Islands",,"WIMO",-0.0186111107468605,98.29916381835938
"http://dbpedia.org/resource/Leo_Wattimena_Airport","Leo Wattimena Airport","OTI","Morotai",,"WAMR",2.04604434967041,128.3247985839844
"http://dbpedia.org/resource/Letung_Airport","Letung Airport","LMU","Anambas Islands Regency","Riau Islands","WIDL",2.964166641235352,105.7544479370117
"http://dbpedia.org/resource/Lombok_International_Airport","Lombok International Airport","LOP","Lombok",,"WADL",-8.758055686950684,116.2763900756836
"http://dbpedia.org/resource/Long_Apung_Airport","Long Apung Airport","LPU","Long Apung","North Kalimantan","WAQL",1.703611135482788,114.9702758789062
"http://dbpedia.org/resource/Maimun_Saleh_Airport","Maimun Saleh Airport","SBG","Sabang, Indonesia",,"WITN",5.874722003936768,95.33999633789062
"http://dbpedia.org/resource/Malikus_Saleh_Airport","Malikus Saleh Airport","LSW","Lhokseumawe","Aceh","WITM",5.226666450500488,96.95027923583984
"http://dbpedia.org/resource/Malinau","Malinau",,,,,,
"http://dbpedia.org/resource/Matak_Airport","Matak Airport","MWK","Anambas",,"WIOM",3.348119497299194,106.2580490112305
"http://dbpedia.org/resource/Mau_Hau_Airport","Mau Hau Airport",,,,,,
"http://dbpedia.org/resource/Melangguane_Airport","Melangguane Airport","MNA","Melonguane","North Sulawesi","WAMN",4.00694465637207,126.6727752685547
"http://dbpedia.org/resource/Miangas_Airport","Miangas Airport","NONE","Miangas",,"WAMS",5.562222003936768,126.5813903808594
