AIRPORT,TIME,FLIGHT,AIRLINE,AIRCRAFT,STATUS,TYPE,TO/FROM
AAP,8:15:00 AM,ID6672,Batik Air ,B738 (PK-LDK) ,Landed 8:07 AM,Arrival,CGK
AAP,9:25:00 AM,IU640,Super Air Jet ,A320 (PK-SJV) ,Landed 10:00 AM,Arrival,SUB
AAP,10:05:00 AM,QG460,Citilink ,A320 (PK-GQH) ,Landed 10:13 AM,Arrival,SUB
AAP,10:10:00 AM,IU533,Super Air Jet ,A320 (PK-SGC) ,Landed 9:44 AM,Arrival,UPG
AAP,11:30:00 AM,IW1485,Wings Air ,AT76 (PK-WJG) ,Landed 11:17 AM,Arrival,BEJ
AAP,11:35:00 AM,JT314,Lion Air ,B738 (PK-LJV) ,Landed 11:43 AM,Arrival,SUB
AAP,12:50:00 PM,IU658,Super Air Jet (Our Super 50th Jet Livery) ,A320 (PK-STQ) ,Landed 12:37 PM,Arrival,YIA
AAP,1:10:00 PM,ID6256,Batik Air ,A320 (PK-LZH) ,Landed 1:35 PM,Arrival,CGK
AAP,3:10:00 PM,QG422,Citilink ,A320 (PK-GQA) ,Landed 3:34 PM,Arrival,CGK
AAP,8:55:00 AM,ID6673,Batik Air ,B738 (PK-LDK) ,Departed 9:00 AM,Departure,CGK
AAP,9:25:00 AM,IU641,Super Air Jet ,A320 (PK-SJV) ,Departed 10:48 AM,Departure,SUB
AAP,10:40:00 AM,QG461,Citilink ,A320 (PK-GQH) ,Departed 10:53 AM,Departure,SUB
AAP,10:50:00 AM,IU532,Super Air Jet ,A320 (PK-SGC) ,Departed 10:39 AM,Departure,UPG
AAP,11:50:00 AM,IW1484,Wings Air ,AT76 (PK-WJG) ,Departed 12:12 PM,Departure,BEJ
AAP,12:20:00 PM,JT317,Lion Air ,B738 (PK-LJV) ,Departed 12:39 PM,Departure,SUB
AAP,1:30:00 PM,IU659,Super Air Jet (Our Super 50th Jet Livery) ,A320 (PK-STQ) ,Departed 1:37 PM,Departure,YIA
AAP,1:50:00 PM,ID6257,Batik Air ,A320 (PK-LZH) ,Departed 2:24 PM,Departure,CGK
AAP,3:40:00 PM,QG423,Citilink ,A320 (PK-GQA) ,Departed 4:23 PM,Departure,CGK
ABU,12:25:00 PM,IW1955,Wings Air ,AT76 (PK-WGU) ,Landed 12:16 PM,Arrival,KOE
ABU,12:50:00 PM,IW1954,Wings Air ,AT76 (PK-WGU) ,Estimated dep. 12:46 PM,Departure,KOE
AMQ,6:55:00 AM,ID6170,Batik Air ,B738 (PK-LZZ) ,Landed 6:38 AM,Arrival,CGK
AMQ,6:55:00 AM,JT888,Lion Air ,B738 (PK-LJW) ,Landed 6:45 AM,Arrival,UPG
AMQ,6:55:00 AM,JT1800,Lion Air ,739,Unknown,Arrival,UPG
AMQ,7:00:00 AM,JT880,Lion Air ,738,Unknown,Arrival,UPG
AMQ,7:15:00 AM,QG210,Citilink ,A320 (PK-GLP) ,Landed 7:05 AM,Arrival,CGK
AMQ,8:45:00 AM,JT880,Lion Air ,738,Unknown,Arrival,UPG
AMQ,9:10:00 AM,IL432,Trigana Air ,AT4 ,Unknown,Arrival,NRE
AMQ,9:20:00 AM,SJ694,Sriwijaya Air ,738,Unknown,Arrival,TTE
AMQ,11:00:00 AM,JT898,Lion Air ,739,Unknown,Arrival,UPG
AMQ,11:00:00 AM,JT786,Lion Air ,B738 (PK-LJS) ,Landed 11:11 AM,Arrival,UPG
AMQ,11:10:00 AM,IW1515,Wings Air ,AT76 (PK-WHV) ,Landed 11:22 AM,Arrival,SXK
AMQ,11:20:00 AM,SJ663,Sriwijaya Air ,738,Unknown,Arrival,LUV
AMQ,12:00:00 PM,SJ662,Sriwijaya Air ,738,Unknown,Arrival,UPG
AMQ,12:25:00 PM,IW1531,Wings Air ,AT76 (PK-WHJ) ,Landed 12:53 PM,Arrival,LUV
AMQ,12:40:00 PM,JT881,Lion Air ,B738 (PK-LJW) ,Landed 12:38 PM,Arrival,LUV
AMQ,1:20:00 PM,IL430,Trigana Air ,AT4 ,Unknown,Arrival,JIO
AMQ,2:25:00 PM,JT878,Lion Air ,738,Canceled,Arrival,SUB
AMQ,3:20:00 PM,IW1505,Wings Air ,AT7 ,Canceled,Arrival,SOQ
AMQ,3:35:00 PM,GA646,Garuda Indonesia ,B738 (PK-GFS) ,Landed 3:30 PM,Arrival,CGK
AMQ,7:25:00 AM,IW1514,Wings Air ,AT76 (PK-WHV) ,Departed 7:44 AM,Departure,SXK
AMQ,7:35:00 AM,IW1530,Wings Air ,AT76 (PK-WHJ) ,Departed 7:48 AM,Departure,DOB
AMQ,7:40:00 AM,JT791,Lion Air ,739,Unknown,Departure,UPG
AMQ,7:50:00 AM,ID6171,Batik Air ,B738 (PK-LZZ) ,Departed 8:06 AM,Departure,CGK
AMQ,7:55:00 AM,QG211,Citilink ,A320 (PK-GLP) ,Departed 8:02 AM,Departure,CGK
AMQ,8:00:00 AM,IL431,Trigana Air ,AT4 ,Unknown,Departure,NRE
AMQ,9:30:00 AM,JT880,Lion Air ,B738 (PK-LJW) ,Departed 9:33 AM,Departure,LUV
AMQ,10:05:00 AM,SJ695,Sriwijaya Air ,738,Unknown,Departure,TTE
AMQ,10:30:00 AM,IL429,Trigana Air ,AT4 ,Unknown,Departure,JIO
AMQ,11:40:00 AM,JT787,Lion Air ,B738 (PK-LJS) ,Departed 12:19 PM,Departure,UPG
AMQ,12:40:00 PM,SJ663,Sriwijaya Air ,738,Unknown,Departure,UPG
AMQ,1:20:00 PM,JT881,Lion Air ,B738 (PK-LJW) ,Departed 1:42 PM,Departure,UPG
AMQ,1:20:00 PM,JT3881,Lion Air ,738,Estimated dep. 1:42 PM,Departure,UPG
AMQ,3:30:00 PM,JT879,Lion Air ,738,Canceled,Departure,SUB
AMQ,3:40:00 PM,IW1506,Wings Air ,AT7 ,Canceled,Departure,SOQ
AMQ,4:20:00 PM,GA647,Garuda Indonesia ,B738 (PK-GFS) ,Departed 4:38 PM,Departure,CGK
ARD,9:10:00 AM,IW1943,Wings Air ,AT76 (PK-WHM) ,Landed 9:20 AM,Arrival,KOE
ARD,9:30:00 AM,IW1942,Wings Air ,AT76 (PK-WHM) ,Departed 9:55 AM,Departure,KOE
BDJ,4:30:00 AM,RI360,Rimbun Air ,73F ,Unknown,Arrival,BPN
BDJ,8:30:00 AM,IU628,Super Air Jet ,A320 (PK-SJF) ,Landed 8:31 AM,Arrival,CGK
BDJ,8:40:00 AM,IU634,Super Air Jet ,A320 (PK-SAO) ,Landed 8:39 AM,Arrival,SUB
BDJ,8:55:00 AM,JT522,Lion Air ,739,Canceled,Arrival,YIA
BDJ,9:30:00 AM,IW1395,Wings Air ,AT76 (PK-WGL) ,Landed 12:08 PM,Arrival,BPN
BDJ,9:35:00 AM,GA530,Garuda Indonesia ,B738 (PK-GMM) ,Landed 9:28 AM,Arrival,CGK
BDJ,9:45:00 AM,IU626,Super Air Jet ,320,Canceled,Arrival,CGK
BDJ,9:45:00 AM,QG480,Citilink ,A320 (PK-GQC) ,Landed 9:59 AM,Arrival,CGK
BDJ,10:30:00 AM,JT520,Lion Air ,B739 (PK-LGR) ,Landed 10:22 AM,Arrival,YIA
BDJ,10:55:00 AM,IU622,Super Air Jet ,A320 (PK-SAV) ,Landed 11:11 AM,Arrival,CGK
BDJ,11:00:00 AM,JT3318,Lion Air (20 years Sticker) ,B739 (PK-LHM) ,Landed 11:00 AM,Arrival,SUB
BDJ,11:10:00 AM,JT3844,Lion Air ,B739 (PK-LSK) ,Landed 11:28 AM,Arrival,DPS
BDJ,11:35:00 AM,IW1393,Wings Air ,AT76 (PK-WJU) ,Landed 11:44 AM,Arrival,KBU
BDJ,11:35:00 AM,QG486,Citilink ,A320 (PK-GQS) ,Landed 11:20 AM,Arrival,SUB
BDJ,11:40:00 AM,IW1387,Wings Air ,AT7 ,Unknown,Arrival,BPN
BDJ,12:10:00 PM,JT324,Lion Air ,B739 (PK-LSS) ,Landed 12:24 PM,Arrival,CGK
BDJ,12:25:00 PM,QG490,Citilink ,A320 (PK-GQP) ,Landed 1:08 PM,Arrival,CGK
BDJ,12:30:00 PM,IU632,Super Air Jet ,A320 (PK-SJH) ,Landed 12:47 PM,Arrival,SUB
BDJ,12:55:00 PM,JT542,Lion Air ,B739 (PK-LSP) ,Landed 12:56 PM,Arrival,SRG
BDJ,1:30:00 PM,QZ618,AirAsia ,A320 (PK-AZD) ,Landed 1:02 PM,Arrival,DPS
BDJ,1:30:00 PM,QG794,Citilink ,A320 (PK-GQC) ,Landed 1:39 PM,Arrival,SRG
BDJ,1:40:00 PM,IW1383,Wings Air ,AT76 (PK-WGL) ,Landed 2:32 PM,Arrival,BTW
BDJ,2:15:00 PM,IW1399,Wings Air ,AT76 (PK-WJU) ,Landed 4:58 PM,Arrival,HMS
BDJ,2:35:00 PM,GA532,Garuda Indonesia ,B738 (PK-GFV) ,Landed 2:39 PM,Arrival,CGK
BDJ,3:10:00 PM,JT844,Lion Air ,B739 (PK-LGR) ,Landed 3:27 PM,Arrival,DPS
BDJ,3:15:00 PM,JT523,Lion Air ,B739 (PK-LST) ,Landed 3:58 PM,Arrival,UPG
BDJ,3:25:00 PM,JT3222,Lion Air ,B739 (PK-LHI) ,Unknown,Arrival,SUB
BDJ,3:45:00 PM,JT322,Lion Air ,739,Unknown,Arrival,CGK
BDJ,4:15:00 PM,IU636,Super Air Jet ,A320 (PK-SJH) ,Landed 4:51 PM,Arrival,SUB
BDJ,4:45:00 PM,IP630,Pelita Air ,A320 (PK-PWG) ,Unknown,Arrival,CGK
BDJ,4:45:00 PM,IP612,Pelita Air ,A320 (PK-PWG) ,Landed 4:47 PM,Arrival,CGK
BDJ,5:10:00 PM,ID6210,Batik Air ,A320 (PK-BKQ) ,Landed 5:54 PM,Arrival,CGK
BDJ,5:30:00 PM,IW1385,Wings Air ,AT75 (PK-WFL) ,Landed 5:30 PM,Arrival,BPN
BDJ,5:50:00 PM,JT316,Lion Air ,B739 (PK-LHS) ,Landed 5:46 PM,Arrival,SUB
BDJ,6:20:00 PM,QG482,Citilink ,A320 (PK-GQP) ,Landed 7:24 PM,Arrival,CGK
BDJ,6:35:00 PM,QG1499,Citilink ,AT76 (PK-GJS) ,Landed 7:19 PM,Arrival,BPN
BDJ,7:10:00 PM,JT226,Lion Air ,B739 (PK-LHI) ,Landed 7:12 PM,Arrival,SUB
BDJ,7:10:00 PM,JT546,Lion Air ,B739 (PK-LGR) ,Landed 7:40 PM,Arrival,SRG
BDJ,7:10:00 PM,QG488,Citilink ,A320 (PK-GQF) ,Landed 6:54 PM,Arrival,SUB
BDJ,8:00:00 PM,JT326,Lion Air ,B739 (PK-LGU) ,Landed 7:55 PM,Arrival,CGK
BDJ,8:55:00 PM,IU624,Super Air Jet ,A320 (PK-STA) ,Landed 10:29 PM,Arrival,CGK
BDJ,9:10:00 PM,GA536,Garuda Indonesia ,B738 (PK-GNA) ,Landed 9:26 PM,Arrival,CGK
BDJ,9:15:00 PM,QG494,Citilink ,A320 (PK-GLM) ,Landed 10:03 PM,Arrival,SUB
BDJ,5:30:00 AM,RI334,Rimbun Air ,73F ,Unknown,Departure,CGK
BDJ,6:00:00 AM,IU625,Super Air Jet ,A320 (PK-STH) ,Departed 6:10 AM,Departure,CGK
BDJ,6:00:00 AM,QG483,Citilink ,A320 (PK-GQA) ,Departed 6:15 AM,Departure,CGK
BDJ,6:10:00 AM,JT311,Lion Air (20 years Sticker) ,B739 (PK-LHM) ,Departed 6:19 AM,Departure,SUB
BDJ,6:35:00 AM,IW1394,Wings Air ,AT7 ,Canceled,Departure,BPN
BDJ,7:00:00 AM,JT519,Lion Air ,739,Canceled,Departure,YIA
BDJ,7:25:00 AM,GA533,Garuda Indonesia ,B738 (PK-GFU) ,Departed 7:35 AM,Departure,CGK
BDJ,8:00:00 AM,JT315,Lion Air ,B739 (PK-LGP) ,Departed 8:04 AM,Departure,SUB
BDJ,8:00:00 AM,JT529,Lion Air ,B738 (PK-LOR) ,Departed 8:00 AM,Departure,CGK
BDJ,9:00:00 AM,IW1386,Wings Air ,AT76 (PK-WGL) ,Departed 9:21 AM,Departure,BPN
BDJ,9:30:00 AM,IU635,Super Air Jet ,A320 (PK-SAO) ,Departed 9:35 AM,Departure,SUB
BDJ,9:35:00 AM,IU629,Super Air Jet ,A320 (PK-SJF) ,Departed 9:54 AM,Departure,CGK
BDJ,9:45:00 AM,JT543,Lion Air ,B739 (PK-LSP) ,Departed 10:04 AM,Departure,SRG
BDJ,9:50:00 AM,IW1392,Wings Air ,AT76 (PK-WJU) ,Departed 10:06 AM,Departure,KBU
BDJ,10:15:00 AM,QG795,Citilink ,A320 (PK-GQC) ,Departed 10:47 AM,Departure,SRG
BDJ,10:20:00 AM,GA535,Garuda Indonesia ,B738 (PK-GMM) ,Departed 10:38 AM,Departure,CGK
BDJ,10:45:00 AM,IU627,Super Air Jet ,320,Unknown,Departure,CGK
BDJ,11:40:00 AM,JT3319,Lion Air (20 years Sticker) ,B739 (PK-LHM) ,Departed 11:57 AM,Departure,SUB
BDJ,11:55:00 AM,IU623,Super Air Jet ,A320 (PK-SAV) ,Departed 12:28 PM,Departure,CGK
BDJ,11:55:00 AM,IW1398,Wings Air ,AT76 (PK-WJU) ,Departed 3:04 PM,Departure,HMS
BDJ,12:00:00 PM,IW1382,Wings Air ,AT76 (PK-WGL) ,Departed 1:06 PM,Departure,BTW
BDJ,12:00:00 PM,JT845,Lion Air ,B739 (PK-LGR) ,Departed 12:13 PM,Departure,DPS
BDJ,12:05:00 PM,QG487,Citilink ,A320 (PK-GQS) ,Departed 12:20 PM,Departure,SUB
BDJ,12:30:00 PM,JT3845,Lion Air ,B739 (PK-LSK) ,Departed 12:59 PM,Departure,DPS
BDJ,12:50:00 PM,JT325,Lion Air ,B739 (PK-LSS) ,Departed 1:45 PM,Departure,CGK
BDJ,1:05:00 PM,QG491,Citilink ,A320 (PK-GQP) ,Departed 2:12 PM,Departure,CGK
BDJ,1:10:00 PM,IU633,Super Air Jet ,A320 (PK-SJH) ,Departed 1:49 PM,Departure,SUB
BDJ,1:40:00 PM,JT521,Lion Air ,B739 (PK-LSP) ,Departed 2:07 PM,Departure,YIA
BDJ,2:00:00 PM,QZ619,AirAsia ,A320 (PK-AZD) ,Departed 1:59 PM,Departure,DPS
BDJ,2:05:00 PM,QG481,Citilink ,A320 (PK-GQC) ,Departed 2:43 PM,Departure,CGK
BDJ,2:50:00 PM,IW1384,Wings Air ,AT76 (PK-WGL) ,Departed 3:32 PM,Departure,BPN
BDJ,3:20:00 PM,GA537,Garuda Indonesia ,B738 (PK-GFV) ,Departed 4:02 PM,Departure,CGK
BDJ,3:50:00 PM,JT547,Lion Air ,B739 (PK-LGR) ,Departed 4:23 PM,Departure,SRG
BDJ,4:05:00 PM,JT223,Lion Air ,B739 (PK-LHI) ,Departed 4:15 PM,Departure,SUB
BDJ,4:10:00 PM,JT524,Lion Air ,B739 (PK-LST) ,Departed 5:04 PM,Departure,UPG
BDJ,4:30:00 PM,JT323,Lion Air ,739,Unknown,Departure,CGK
BDJ,5:00:00 PM,IU637,Super Air Jet ,A320 (PK-SJH) ,Departed 5:43 PM,Departure,SUB
BDJ,5:25:00 PM,IP631,Pelita Air ,A320 (PK-PWI) ,Estimated dep. 5:39 PM,Departure,CGK
BDJ,5:25:00 PM,IP613,Pelita Air ,A320 (PK-PWG) ,Departed 5:38 PM,Departure,CGK
BDJ,5:55:00 PM,ID6211,Batik Air ,A320 (PK-BKQ) ,Departed 6:52 PM,Departure,CGK
BDJ,6:50:00 PM,QG489,Citilink ,A320 (PK-GQP) ,Departed 8:16 PM,Departure,SUB
BDJ,8:05:00 PM,QG495,Citilink ,A320 (PK-GQF) ,Departed 8:22 PM,Departure,SUB
BEJ,8:45:00 AM,ID6430,Batik Air ,A320 (PK-LUT) ,Unknown,Arrival,CGK
BEJ,10:00:00 AM,IW1366,Wings Air ,AT76 (PK-WJG) ,Unknown,Arrival,BPN
BEJ,10:00:00 AM,IW1362,Wings Air ,AT76 (PK-WJG) ,Unknown,Arrival,BPN
BEJ,11:35:00 AM,QG1402,Citilink ,AT76 (PK-GJS) ,Unknown,Arrival,BPN
BEJ,12:50:00 PM,IW1484,Wings Air ,AT76 (PK-WJG) ,Unknown,Arrival,AAP
BEJ,1:40:00 PM,ID6346,Batik Air ,A320 (PK-LUO) ,Unknown,Arrival,SUB
BEJ,2:15:00 PM,IW1364,Wings Air ,AT75 (PK-WFP) ,Unknown,Arrival,BPN
BEJ,3:15:00 PM,QG1404,Citilink ,AT76 (PK-GJS) ,Unknown,Arrival,BPN
BEJ,5:45:00 PM,IW1378,Wings Air ,AT7 ,Canceled,Arrival,BPN
BEJ,5:45:00 PM,IW1380,Wings Air ,AT76 (PK-WGL) ,Unknown,Arrival,BPN
BEJ,6:15:00 PM,IW1360,Wings Air ,AT7 ,Canceled,Arrival,BPN
BEJ,7:00:00 AM,IW1361,Wings Air ,AT76 (PK-WJG) ,Departed 7:12 AM,Departure,BPN
BEJ,7:50:00 AM,IW1363,Wings Air ,AT7 ,Canceled,Departure,BPN
BEJ,9:30:00 AM,ID6431,Batik Air ,A320 (PK-LUT) ,Departed 9:38 AM,Departure,CGK
BEJ,9:40:00 AM,IW1381,Wings Air ,AT75 (PK-WFJ) ,Departed 9:28 AM,Departure,BPN
BEJ,10:30:00 AM,IW1485,Wings Air ,AT76 (PK-WJG) ,Departed 10:31 AM,Departure,AAP
BEJ,11:10:00 AM,IW1365,Wings Air ,AT75 (PK-WFP) ,Departed 11:01 AM,Departure,BPN
BEJ,12:05:00 PM,QG1403,Citilink ,AT76 (PK-GJS) ,Departed 12:11 PM,Departure,BPN
BEJ,1:10:00 PM,IW1367,Wings Air ,AT7 ,Canceled,Departure,BPN
BEJ,2:20:00 PM,ID6347,Batik Air ,A320 (PK-LUO) ,Departed 2:26 PM,Departure,SUB
BEJ,2:40:00 PM,IW1379,Wings Air ,AT7 ,Canceled,Departure,BPN
BEJ,3:40:00 PM,QG1405,Citilink ,AT76 (PK-GJS) ,Departed 4:34 PM,Departure,BPN
BIK,7:00:00 AM,SJ582,Sriwijaya Air ,738,Unknown,Arrival,UPG
BIK,7:05:00 AM,JT800,Lion Air ,739,Unknown,Arrival,UPG
BIK,7:05:00 AM,JT938,Lion Air ,B738 (PK-LOJ) ,Landed 8:05 AM,Arrival,UPG
BIK,7:05:00 AM,JT1880,Lion Air ,738,Unknown,Arrival,UPG
BIK,9:25:00 AM,IL294,Trigana Air ,AT4 ,Unknown,Arrival,ZRI
BIK,10:55:00 AM,JT939,Lion Air ,B738 (PK-LOJ) ,Landed 12:50 PM,Arrival,DJJ
BIK,11:05:00 AM,SJ583,Sriwijaya Air ,738,Unknown,Arrival,DJJ
BIK,12:05:00 PM,GA651,Garuda Indonesia ,B738 (PK-GMI) ,Landed 12:26 PM,Arrival,DJJ
BIK,7:45:00 AM,JT938,Lion Air ,B738 (PK-LOJ) ,Departed 9:51 AM,Departure,DJJ
BIK,7:45:00 AM,SJ582,Sriwijaya Air ,738,Unknown,Departure,DJJ
BIK,9:55:00 AM,IL293,Trigana Air ,AT4 ,Unknown,Departure,ZRI
BIK,11:45:00 AM,JT939,Lion Air ,B738 (PK-LOJ) ,Departed 1:49 PM,Departure,UPG
BIK,11:45:00 AM,SJ583,Sriwijaya Air ,738,Unknown,Departure,UPG
BIK,11:45:00 AM,JT709,Lion Air ,738,Unknown,Departure,UPG
BIK,1:05:00 PM,GA650,Garuda Indonesia ,B738 (PK-GMI) ,Departed 1:18 PM,Departure,DJJ
BJW,11:55:00 AM,IW1927,Wings Air ,AT76 (PK-WHM) ,Unknown,Arrival,KOE
BJW,2:05:00 PM,IW1926,Wings Air ,AT76 (PK-WHM) ,Landed 2:45 PM,Arrival,LBJ
BJW,12:15:00 PM,IW1927,Wings Air ,AT76 (PK-WHM) ,Departed 12:52 PM,Departure,LBJ
BJW,2:30:00 PM,IW1926,Wings Air ,AT76 (PK-WHM) ,Departed 3:12 PM,Departure,KOE
BKS,10:10:00 AM,JT638,Lion Air ,739,Canceled,Arrival,CGK
BKS,11:45:00 AM,QG990,Citilink ,A320 (PK-GLO) ,Landed 11:49 AM,Arrival,CGK
BKS,12:00:00 PM,IU834,Super Air Jet ,A320 (PK-STF) ,Landed 12:19 PM,Arrival,CGK
BKS,1:20:00 PM,GA296,Garuda Indonesia ,B738 (PK-GUD) ,Landed 1:22 PM,Arrival,CGK
BKS,2:05:00 PM,JT636,Lion Air (80th 737NG Livery) ,B738 (PK-LKP) ,Landed 2:01 PM,Arrival,CGK
BKS,5:55:00 PM,JT630,Lion Air ,B738 (PK-LKW) ,Landed 6:10 PM,Arrival,CGK
BKS,7:00:00 AM,JT631,Lion Air ,B739 (PK-LSV) ,Departed 7:08 AM,Departure,CGK
BKS,10:50:00 AM,JT639,Lion Air ,739,Canceled,Departure,CGK
BKS,12:15:00 PM,QG991,Citilink ,A320 (PK-GLO) ,Departed 12:31 PM,Departure,CGK
BKS,12:40:00 PM,IU835,Super Air Jet ,A320 (PK-STF) ,Departed 1:07 PM,Departure,CGK
BKS,2:05:00 PM,GA297,Garuda Indonesia ,B738 (PK-GUD) ,Departed 2:15 PM,Departure,CGK
BKS,2:45:00 PM,JT637,Lion Air (80th 737NG Livery) ,B738 (PK-LKP) ,Departed 2:56 PM,Departure,CGK
BMU,4:25:00 PM,IW1864,Wings Air ,AT75 (PK-WFR) ,Landed 4:59 PM,Arrival,LOP
BMU,4:35:00 PM,IW1826,Wings Air ,AT76 (PK-WGK) ,Landed 5:32 PM,Arrival,DPS
BMU,7:15:00 AM,IW1827,Wings Air ,AT75 (PK-WFH) ,Departed 7:12 AM,Departure,DPS
BMU,7:30:00 AM,IW1865,Wings Air ,AT76 (PK-WHW) ,Departed 7:34 AM,Departure,LOP
BPN,2:15:00 AM,RI350,Rimbun Air ,73F ,Unknown,Arrival,CGK
BPN,7:35:00 AM,IU610,Super Air Jet ,A320 (PK-SAY) ,Landed 7:24 AM,Arrival,SUB
BPN,7:40:00 AM,ID6252,Batik Air ,A320 (PK-LUU) ,Landed 7:32 AM,Arrival,CGK
BPN,7:45:00 AM,IW1394,Wings Air ,AT7 ,Canceled,Arrival,BDJ
BPN,7:45:00 AM,QG430,Citilink ,A20N (PK-GTA) ,Landed 7:28 AM,Arrival,SUB
BPN,7:50:00 AM,IU535,Super Air Jet ,A320 (PK-SJH) ,Landed 8:30 AM,Arrival,UPG
BPN,8:15:00 AM,IW1361,Wings Air ,AT76 (PK-WJG) ,Landed 8:10 AM,Arrival,BEJ
BPN,8:35:00 AM,JT266,Lion Air ,B739 (PK-LHP) ,Landed 8:37 AM,Arrival,SUB
BPN,9:05:00 AM,GA560,Garuda Indonesia (Retro Livery) ,A333 (PK-GHD) ,Landed 9:04 AM,Arrival,CGK
BPN,9:05:00 AM,IW1363,Wings Air ,AT7 ,Canceled,Arrival,BEJ
BPN,9:15:00 AM,QG436,Citilink ,A320 (PK-GQE) ,Landed 8:54 AM,Arrival,CGK
BPN,9:40:00 AM,IP600,Pelita Air ,A320 (PK-PWA) ,Landed 9:32 AM,Arrival,CGK
BPN,9:45:00 AM,JT624,Lion Air ,B739 (PK-LFW) ,Landed 9:41 AM,Arrival,SRG
BPN,10:10:00 AM,IW1386,Wings Air ,AT76 (PK-WGL) ,Landed 10:22 AM,Arrival,BDJ
BPN,10:10:00 AM,GM61,Asia Cargo Airlines ,B733 (PK-MGI) ,Landed 10:11 AM,Arrival,HLP
BPN,10:15:00 AM,JT756,Lion Air ,B39M (PK-LRI) ,Landed 9:54 AM,Arrival,CGK
BPN,10:20:00 AM,TR222,Scoot ,A320 (9V-TRS) ,Landed 10:19 AM,Arrival,SIN
BPN,10:35:00 AM,IU676,Super Air Jet ,A320 (PK-STS) ,Landed 10:29 AM,Arrival,YIA
BPN,10:45:00 AM,IU612,Super Air Jet ,A320 (PK-STC) ,Landed 10:37 AM,Arrival,SUB
BPN,10:50:00 AM,IP621,Pelita Air ,A320 (PK-PWL) ,Landed 10:14 AM,Arrival,SUB
BPN,10:55:00 AM,IW1381,Wings Air ,AT75 (PK-WFJ) ,Landed 10:24 AM,Arrival,BEJ
BPN,11:10:00 AM,IU666,Super Air Jet ,A320 (PK-SJI) ,Landed 11:26 AM,Arrival,PNK
BPN,11:10:00 AM,QG438,Citilink ,A320 (PK-GLX) ,Landed 11:40 AM,Arrival,CGK
BPN,11:20:00 AM,JT260,Lion Air ,B739 (PK-LHP) ,Landed 1:32 PM,Arrival,SUB
BPN,11:30:00 AM,JT669,Lion Air ,B739 (PK-LGW) ,Landed 11:17 AM,Arrival,YIA
BPN,11:35:00 AM,IU534,Super Air Jet ,A320 (PK-SAY) ,Landed 12:24 PM,Arrival,TRK
BPN,11:50:00 AM,GA564,Garuda Indonesia ,B738 (PK-GMC) ,Landed 11:51 AM,Arrival,CGK
BPN,12:00:00 PM,AK483,AirAsia ,A320 (9M-RAN) ,Landed 12:02 PM,Arrival,KUL
BPN,12:05:00 PM,IU614,Super Air Jet ,A320 (PK-STI) ,Landed 12:20 PM,Arrival,SUB
BPN,12:15:00 PM,JT760,Lion Air (Dreamliner Livery) ,B739 (PK-LFG) ,Landed 12:12 PM,Arrival,CGK
BPN,12:25:00 PM,IW1365,Wings Air ,AT75 (PK-WFP) ,Landed 12:11 PM,Arrival,BEJ
BPN,12:30:00 PM,QG784,Citilink ,A20N (PK-GTA) ,Landed 12:29 PM,Arrival,YIA
BPN,12:50:00 PM,QG401,Citilink ,A320 (PK-GQE) ,Landed 12:41 PM,Arrival,TRK
BPN,1:05:00 PM,JT262,Lion Air ,B739 (PK-LHP) ,Unknown,Arrival,SUB
BPN,1:20:00 PM,IU529,Super Air Jet ,A320 (PK-STP) ,Landed 1:23 PM,Arrival,MDC
BPN,1:25:00 PM,QG1403,Citilink ,AT76 (PK-GJS) ,Landed 1:10 PM,Arrival,BEJ
BPN,1:35:00 PM,JT676,Lion Air ,739,Unknown,Arrival,UPG
BPN,1:35:00 PM,JT952,Lion Air ,B39M (PK-LRG) ,Landed 1:27 PM,Arrival,KNO
BPN,1:35:00 PM,JT953,Lion Air ,738,Unknown,Arrival,UPG
BPN,2:00:00 PM,IW1323,Wings Air ,AT75 (PK-WFJ) ,Landed 2:07 PM,Arrival,PLW
BPN,2:00:00 PM,IW1475,Wings Air ,AT75 (PK-WFL) ,Landed 1:37 PM,Arrival,GHS
BPN,2:15:00 PM,IU602,Super Air Jet ,A320 (PK-SJF) ,Landed 2:57 PM,Arrival,CGK
BPN,2:15:00 PM,IU693,Super Air Jet ,A320 (PK-STC) ,Landed 2:50 PM,Arrival,TRK
BPN,2:25:00 PM,IW1367,Wings Air ,AT7 ,Unknown,Arrival,BEJ
BPN,2:55:00 PM,IU3667,Super Air Jet ,A320 (PK-SJI) ,Landed 3:26 PM,Arrival,UPG
BPN,3:05:00 PM,JT660,Lion Air ,B739 (PK-LFW) ,Landed 2:54 PM,Arrival,DPS
BPN,3:10:00 PM,IU618,Super Air Jet ,A320 (PK-STS) ,Landed 3:33 PM,Arrival,SUB
BPN,3:30:00 PM,SJ173,Sriwijaya Air ,738,Unknown,Arrival,UPG
BPN,3:55:00 PM,IW1379,Wings Air ,AT7 ,Unknown,Arrival,BEJ
BPN,4:05:00 PM,IW1384,Wings Air ,AT76 (PK-WGL) ,Landed 4:33 PM,Arrival,BDJ
BPN,4:15:00 PM,JT750,Lion Air ,B39M (PK-LRI) ,Landed 4:16 PM,Arrival,CGK
BPN,4:15:00 PM,IP602,Pelita Air ,A320 (PK-PWH) ,Landed 4:12 PM,Arrival,CGK
