AIRPORT,TIME,FLIGHT,AIRLINE,AIRCRAFT,STATUS,TYPE,TO/FROM
YIA,3:05:00 PM,IU678,Super Air Jet (Our Super 50th Jet Livery) ,A320 (PK-STQ) ,Departed 3:27 PM,Departure,BPN
YIA,3:10:00 PM,ID6367,Batik Air ,B738 (PK-LZT) ,Departed 3:46 PM,Departure,CGK
YIA,4:15:00 PM,IU933,Super Air Jet ,A320 (PK-SAG) ,Departed 4:22 PM,Departure,PLM
YIA,4:20:00 PM,JT644,Lion Air ,B739 (PK-LSP) ,Departed 4:25 PM,Departure,UPG
YIA,4:50:00 PM,GA213,Garuda Indonesia ,B738 (PK-GMY) ,Departed 5:42 PM,Departure,CGK
YIA,5:30:00 PM,AK349,AirAsia ,A320 (9M-RAE) ,Departed 5:55 PM,Departure,KUL
YIA,5:30:00 PM,ID6377,Batik Air ,B738 (PK-LZO) ,Unknown,Departure,CGK
YIA,5:55:00 PM,IU776,Super Air Jet ,A320 (PK-SAW) ,Departed 6:20 PM,Departure,LOP
YIA,6:00:00 PM,SJ712,Sriwijaya Air ,738,Unknown,Departure,UPG
YIA,6:15:00 PM,JT3560,Lion Air ,B739 (PK-LGW) ,Departed 6:49 PM,Departure,DPS
YIA,6:30:00 PM,ID7530,Batik Air ,A320 (PK-LUH) ,Departed 6:54 PM,Departure,HLP
YIA,7:00:00 PM,GA203,Garuda Indonesia ,B738 (PK-GMP) ,Departed 7:43 PM,Departure,CGK
YIA,7:15:00 PM,ID6371,Batik Air ,B738 (PK-LZT) ,Departed 7:46 PM,Departure,CGK
YIA,7:15:00 PM,IP245,Pelita Air ,A320 (PK-PWI) ,Departed 7:38 PM,Departure,CGK
YIA,7:15:00 PM,QG777,Citilink ,A320 (PK-GQA) ,Departed 8:11 PM,Departure,CGK
YIA,8:30:00 PM,MH856,Malaysia Airlines ,B738 (9M-MSG) ,Departed 8:52 PM,Departure,KUL
YIA,6:30:00 AM,IU777,Super Air Jet ,A320 (PK-SAW) ,Landed 6:20 AM,Arrival,LOP
YIA,7:10:00 AM,ID6368,Batik Air ,B738 (PK-LBS) ,Landed 7:17 AM,Arrival,CGK
YIA,7:15:00 AM,QZ600,AirAsia ,A320 (PK-AZK) ,Landed 7:23 AM,Arrival,DPS
YIA,7:25:00 AM,JT519,Lion Air ,739,Canceled,Arrival,BDJ
YIA,7:25:00 AM,JT3569,Lion Air ,B739 (PK-LGW) ,Landed 7:37 AM,Arrival,DPS
YIA,9:05:00 AM,QG785,Citilink ,A20N (PK-GTA) ,Landed 8:57 AM,Arrival,BPN
YIA,9:10:00 AM,IU679,Super Air Jet (Our Super 50th Jet Livery) ,A320 (PK-STQ) ,Landed 9:00 AM,Arrival,BPN
YIA,9:10:00 AM,JT279,Lion Air ,B739 (PK-LSM) ,Landed 9:11 AM,Arrival,PKU
YIA,9:10:00 AM,JT640,Lion Air ,738,Unknown,Arrival,PKU
YIA,9:15:00 AM,GA204,Garuda Indonesia ,B738 (PK-GUD) ,Landed 9:05 AM,Arrival,CGK
YIA,9:35:00 AM,ID7533,Batik Air ,32A ,Unknown,Arrival,HLP
YIA,9:45:00 AM,TR200,Scoot ,A320 (9V-TRV) ,Landed 10:02 AM,Arrival,SIN
YIA,10:10:00 AM,JT641,Lion Air ,B739 (PK-LKM) ,Landed 10:16 AM,Arrival,UPG
YIA,10:10:00 AM,JT964,Lion Air ,739,Unknown,Arrival,UPG
YIA,10:25:00 AM,QG782,Citilink ,A320 (PK-GQN) ,Landed 10:28 AM,Arrival,PKU
YIA,10:35:00 AM,IU935,Super Air Jet ,A320 (PK-SAG) ,Landed 10:23 AM,Arrival,PLM
YIA,10:50:00 AM,ID6378,Batik Air ,738,Canceled,Arrival,CGK
YIA,11:20:00 AM,AK346,AirAsia ,A320 (9M-AJG) ,Landed 11:09 AM,Arrival,KUL
YIA,12:10:00 PM,ID6344,Batik Air ,B738 (PK-LZO) ,Unknown,Arrival,CGK
YIA,12:25:00 PM,JT963,Lion Air ,B39M (PK-LRF) ,Landed 12:25 PM,Arrival,KNO
YIA,12:40:00 PM,QZ659,AirAsia ,A320 (PK-AZK) ,Landed 1:10 PM,Arrival,SIN
YIA,12:45:00 PM,GA253,Garuda Indonesia ,B738 (PK-GNH) ,Landed 12:43 PM,Arrival,DPS
